region_code,region_name_vi,grdp_per_capita_million_VND,fdi_registered_billion_USD,digital_index_0_100,ai_readiness_0_100,trained_labor_pct,rd_intensity_pct,internet_penetration_pct,gini_coef
NMM,Trung du miền núi phía Bắc,57.0,3.5,38.0,22.0,21.5,0.18,72.0,0.405
RRD,Đồng bằng sông Hồng,152.3,20.0,78.0,68.0,36.8,0.85,92.0,0.358
NCC,Bắc Trung Bộ + DH Trung Bộ,87.5,8.2,55.0,40.0,27.5,0.32,84.0,0.372
CH,Tây Nguyên,68.9,0.8,32.0,18.0,18.2,0.15,68.0,0.412
SE,Đông Nam Bộ,158.9,18.5,82.0,75.0,42.5,0.78,94.0,0.385
MD,Đồng bằng sông Cửu Long,80.5,2.1,48.0,30.0,16.8,0.22,78.0,0.392
